GameID,Team,Season,FT%,FTM,FTA,FG%,FGM,FGA,3Point%,3PM,3PA,SecondChancePts,Assists,Rebounds,BenchPoints,FastbreakPts,PointsinthePaint,PointsOffTurnovers,Turnovers,LargestLead,TimeofLargestLead,LeadChanges,Ties,FirstQtr,SecondQtr,ThirdQtr,FourthQtr,TotalPoints,Win,Home
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_7u3q.xml?view=teamstats,Brock,2014-15,0.75,12,16,0.354,23,65,0.308,8,26,11,5,35,10,0,22,18,19,12,1st -- 01:58,4,2,24,7,17,18,66,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_7u3q.xml?view=teamstats,Western,2014-15,0.556,15,27,0.5,28,56,0.25,5,20,2,12,36,16,0,38,20,19,18,4th -- 06:54,4,2,17,21,22,16,76,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_9wre.xml?view=teamstats,Guelph,2014-15,0.471,8,17,0.371,26,70,0.269,7,26,2,15,29,25,,,14,12,31,3rd -- 01:42,3,1,14,23,18,12,67,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_9wre.xml?view=teamstats,Nipissing,2014-15,0.478,11,23,0.278,15,54,0.15,3,20,6,8,39,8,,,8,18,2,1st -- 09:15,3,1,11,4,10,19,44,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_akyi.xml?view=teamstats,Lakehead,2014-15,0.762,16,21,0.361,22,61,0.125,2,16,7,12,45,10,,,7,12,13,4th -- 02:15,2,4,15,15,15,17,62,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_akyi.xml?view=teamstats,Laurentian,2014-15,0.75,3,4,0.314,22,70,0.2,5,25,5,19,35,9,,,11,11,1,2nd -- 00:23,2,4,14,15,9,14,52,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_ipgv.xml?view=teamstats,Carleton,2014-15,0.615,8,13,0.524,33,63,0.567,17,30,11,26,31,7,,,21,8,26,4th -- 02:36,3,1,29,21,22,19,91,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_ipgv.xml?view=teamstats,Ryerson,2014-15,0.808,21,26,0.383,23,60,0.5,6,12,13,11,42,10,,,11,11,2,1st -- 09:38,3,1,15,18,19,21,73,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_rpli.xml?view=teamstats,McMaster,2014-15,0.714,15,21,0.395,30,76,0.391,9,23,11,12,49,24,0,10,11,16,12,4th -- 00:00,2,2,18,26,18,22,84,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_rpli.xml?view=teamstats,Windsor,2014-15,0.5,13,26,0.317,26,82,0.269,7,26,18,10,56,7,0,8,9,13,8,1st -- 04:19,2,2,23,17,19,13,72,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_zdmu.xml?view=teamstats,Algoma,2014-15,0.905,19,21,0.357,25,70,0.214,6,28,6,8,20,75,,,12,9,3,1st -- 09:16,1,1,16,18,14,27,75,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20141129_zdmu.xml?view=teamstats,York,2014-15,0.909,10,11,0.594,41,69,0.545,18,33,13,24,42,110,,,9,14,38,3rd -- 00:09,1,1,24,30,30,26,110,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150102_h1dl.xml?view=teamstats,Ottawa,2014-15,0.75,9,12,0.538,43,80,0.435,20,46,25,22,53,50,4,42,26,12,46,4th -- 01:58,0,0,30,27,29,29,115,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150102_h1dl.xml?view=teamstats,Saint Mary's,2014-15,0.656,21,32,0.393,24,61,0.176,3,17,11,10,31,12,4,34,17,12,0,--,0,0,14,21,15,22,72,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150103_xvd7.xml?view=teamstats,Ottawa,2014-15,0.875,7,8,0.434,33,76,0.364,16,44,16,17,44,22,8,28,24,10,26,4th -- 04:10,3,3,27,18,26,18,89,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150103_xvd7.xml?view=teamstats,StFX,2014-15,0.6,15,25,0.426,26,61,0.571,4,7,7,11,43,21,4,34,12,12,5,2nd -- 02:32,3,3,21,22,13,15,71,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150104_yyx8.xml?view=teamstats,Dalhousie,2014-15,0.545,12,22,0.377,23,61,0.235,4,17,15,13,40,12,2,32,12,16,1,1st -- 07:52,2,1,13,12,16,21,62,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150104_yyx8.xml?view=teamstats,Ottawa,2014-15,0.7,7,10,0.5,32,64,0.375,12,32,5,19,38,27,6,36,23,11,31,4th -- 08:49,2,1,21,20,27,15,83,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150107_bfxg.xml?view=teamstats,Ryerson,2014-15,0.682,15,22,0.466,34,73,0.391,9,23,18,14,42,25,0,0,31,12,,,0,0,23,20,27,22,92,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150107_bfxg.xml?view=teamstats,Toronto,2014-15,0.64,16,25,0.349,22,63,0.286,8,28,5,10,34,29,0,0,6,16,,,0,0,13,19,15,21,68,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150107_fhfp.xml?view=teamstats,Laurier,2014-15,0.765,13,17,0.36,27,75,0.348,8,23,14,12,41,17,10,24,15,13,6,1st -- 07:43,8,6,18,19,16,22,75,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150107_fhfp.xml?view=teamstats,McMaster,2014-15,0.614,27,44,0.444,28,63,0.154,2,13,12,12,44,24,12,50,13,11,13,4th -- 09:23,8,6,25,16,21,23,85,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150108_rvta.xml?view=teamstats,Western,2014-15,0.667,10,15,0.43,34,79,0.35,7,20,16,11,47,7,0,8,17,22,6,3rd -- 07:23,16,21,21,19,18,17,85,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150108_rvta.xml?view=teamstats,Windsor,2014-15,0.771,27,35,0.41,25,61,0.316,6,19,12,18,39,23,0,10,25,17,6,1st -- 04:27,16,21,19,17,21,18,83,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150109_3qyg.xml?view=teamstats,Nipissing,2014-15,0.609,14,23,0.293,22,75,0.263,5,19,14,4,51,63,,,8,17,2,1st -- 09:45,1,1,12,23,14,14,63,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150109_3qyg.xml?view=teamstats,Queen's,2014-15,0.727,8,11,0.48,36,75,0.37,10,27,12,16,48,90,,,14,10,28,4th -- 03:16,1,1,23,26,22,19,90,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150109_ag82.xml?view=teamstats,Laurentian,2014-15,0.733,22,30,0.345,19,55,0.3,6,20,6,9,22,66,,,23,19,,,0,0,9,23,14,20,66,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150109_ag82.xml?view=teamstats,York,2014-15,0.833,15,18,0.5,30,60,0.471,8,17,17,16,39,83,,,16,25,,,0,0,20,21,28,14,83,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150109_rol6.xml?view=teamstats,Brock,2014-15,0.833,15,18,0.403,27,67,0.389,7,18,9,7,29,20,,,16,8,5,3rd -- 02:16,8,6,22,22,22,10,76,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150109_rol6.xml?view=teamstats,Lakehead,2014-15,0.833,10,12,0.491,28,57,0.389,7,18,5,16,33,30,,,3,17,14,2nd -- 01:55,8,6,23,25,15,10,73,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150109_ziu3.xml?view=teamstats,Algoma,2014-15,0.619,13,21,0.313,21,67,0.125,3,24,7,4,46,20,,,20,15,5,1st -- 07:49,3,1,13,13,18,14,58,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150109_ziu3.xml?view=teamstats,Waterloo,2014-15,0.579,11,19,0.353,24,68,0.286,8,28,14,11,37,17,,,13,14,14,2nd -- 01:00,3,1,15,21,11,20,67,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_1a3k.xml?view=teamstats,Guelph,2014-15,0.739,17,23,0.406,26,64,0.357,5,14,8,10,45,74,,,26,23,22,4th -- 05:57,4,3,22,19,19,14,74,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_1a3k.xml?view=teamstats,Laurier,2014-15,0.368,7,19,0.288,21,73,0.25,7,28,15,13,36,25,,,19,21,2,1st -- 03:27,4,3,17,18,6,15,56,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_669g.xml?view=teamstats,Nipissing,2014-15,0.462,6,13,0.322,19,59,0.167,3,18,9,10,34,47,,,23,24,,,0,0,10,11,9,17,47,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_669g.xml?view=teamstats,York,2014-15,0.5,4,8,0.449,31,69,0.333,10,30,6,19,39,76,,,30,15,,,0,0,22,18,23,13,76,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_b4zw.xml?view=teamstats,McMaster,2014-15,0.75,21,28,0.434,23,53,0.458,11,24,0,9,27,15,,,11,16,7,2nd -- 04:09,11,7,27,16,18,17,78,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_b4zw.xml?view=teamstats,Ryerson,2014-15,0.583,7,12,0.52,39,75,0.619,13,21,15,24,39,14,,,20,10,21,4th -- 00:30,11,7,27,13,26,32,98,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_ic7w.xml?view=teamstats,Laurentian,2014-15,0.613,19,31,0.408,31,76,0.25,4,16,6,13,38,9,,,15,10,11,4th -- 00:06,9,4,22,22,18,23,85,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_ic7w.xml?view=teamstats,Queen's,2014-15,0.571,12,21,0.5,28,56,0.5,8,16,5,16,41,23,,,4,22,8,1st -- 08:48,9,4,25,22,15,14,76,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_trax.xml?view=teamstats,Carleton,2014-15,0.867,13,15,0.355,22,62,0.31,9,29,8,12,34,11,0,20,10,10,4,1st -- 02:31,2,2,14,16,16,20,66,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_trax.xml?view=teamstats,Ottawa,2014-15,0.833,15,18,0.379,22,58,0.36,9,25,5,10,36,18,4,18,13,10,18,3rd -- 03:01,2,2,15,19,27,7,68,1,1
