Game ID,2nd Chance Points Away,2nd Chance Points Home,3 Point % Away,3 Point % Home,3PM Away,3PA Away,3PM Home,3PA Home,Assists Away,Assists Home,Away,Bench Points Away,Bench Points Home,Fastbreak Points Away,Fastbreak Points Home,Field Goal % Away,Field Goal % Home,FGM Away,FGA Away,FGM Home,FGA Home,Free Throw % Away,Free Throw % Home,FTM Away,FTA Away,FTM Home,FTA Home,Home,Largest Lead Away,Largest Lead Home,Lead Changes,Loser,Loser 1st Qtr Pts,Loser 2nd Qtr Pts,Loser 3rd Qtr Pts,Loser 4th Qtr Pts,Loser OT Points,Loser Total Pts,Points in the Paint Away,Points in the Paint Home,Points off Turnovers Away,Points off Turnovers Home,Rebounds Away,Rebounds Home,Ties,Time of Largest Lead Away,Time of Largest Lead Home,Turnovers Away,Turnovers Home,Winner,Winner 1st Qtr Pts,Winner 2nd Qtr Pts,Winner 3rd Qtr Pts,Winner 4th Qtr Pts,Winner OT Points,Winner Total Pts,Season,Date
http://oua.ca/sports/mbkb/2017-18/boxscores/20180119_wu3q.xml?view=teamstats,5,12,0.292,0.192,7,24,5,26,10,15,Algoma,30,46,,,0.323,0.442,21,65,34,77,0.4,0.467,4,10,7,15,Laurier,9,29,2,Algoma,20,12,10,11,,53,,,11,23,38,38,4,1st -- 02:08,4th -- 06:12,21,14,Laurier,14,25,25,16,,80,2017-18,20180119
http://oua.ca/sports/mbkb/2017-18/boxscores/20171110_ftyg.xml?view=teamstats,16,9,0.565,0.233,13,23,7,30,28,11,Carleton,65,5,,,0.595,0.294,47,79,20,68,0.846,0.75,11,13,6,8,Waterloo,,,0,Waterloo,9,15,19,10,,53,,,20,2,45,26,0,,,5,14,Carleton,28,26,32,32,,118,2017-18,20171110
http://oua.ca/sports/mbkb/2017-18/boxscores/20171114_mytg.xml?view=teamstats,7,11,0.231,0.471,6,26,8,17,7,13,Ottawa,17,16,,,0.322,0.448,19,59,26,58,0.818,0.737,9,11,14,19,Carleton,5,24,1,Ottawa,14,9,20,10,,53,,,6,18,22,37,1,1st -- 08:10,4th -- 00:40,14,14,Carleton,17,19,24,14,,74,2017-18,20171114
http://oua.ca/sports/mbkb/2017-18/boxscores/20180126_d1sm.xml?view=teamstats,13,9,0.536,0.276,15,28,8,29,22,12,Carleton,53,16,20,4,0.545,0.281,36,66,16,57,1,0.813,10,10,13,16,Toronto,,,0,Toronto,2,14,16,21,,53,38,8,22,10,45,27,0,,,11,17,Carleton,26,25,27,19,,97,2017-18,20180126
http://oua.ca/sports/mbkb/2017-18/boxscores/20180105_ix7b.xml?view=teamstats,6,11,0.174,0.4,4,23,8,20,6,27,York,23,32,,,0.3,0.581,18,60,36,62,0.5,0.75,13,26,12,16,Laurentian,,,0,York,5,16,12,20,,53,,,22,18,30,51,0,,,17,21,Laurentian,22,25,27,18,,92,2017-18,20180105
http://oua.ca/sports/mbkb/2017-18/boxscores/20171103_iqvc.xml?view=teamstats,10,10,0.261,0.194,6,23,6,31,9,8,Toronto,20,25,,,0.41,0.297,25,61,22,74,0.625,0.75,10,16,3,4,Western,,,0,Western,12,12,14,15,,53,,,10,16,52,32,1,,,18,9,Toronto,18,27,10,11,,66,2017-18,20171103
http://oua.ca/sports/mbkb/2018-19/boxscores/20190119_f4r9.xml?view=teamstats,3,7,0.3,0.296,6,20,8,27,8,13,Guelph,6,15,,,0.34,0.415,18,53,27,65,0.55,0.769,11,20,10,13,Western,12,21,2,Guelph,20,9,15,9,,53,,,11,26,36,38,3,1st -- 01:11,4th -- 00:54,22,12,Western,10,23,20,19,,72,2018-19,20190119
http://oua.ca/sports/mbkb/2018-19/boxscores/20181116_k048.xml?view=teamstats,6,22,0.273,0.39,6,22,16,41,9,20,Lakehead,29,19,,,0.328,0.451,22,67,32,71,0.75,0.75,3,4,9,12,Ottawa,,,0,Lakehead,11,16,14,12,,53,,,4,13,35,48,1,,,12,8,Ottawa,26,18,27,18,,89,2018-19,20181116
http://oua.ca/sports/mbkb/2014-15/boxscores/20141018_stxj.xml?view=teamstats,8,8,0.45,0.429,9,20,6,14,13,11,Lakehead,14,6,,,0.4,0.365,20,50,19,52,0.471,0.714,8,17,10,14,Alberta,14,8,7,Alberta,17,17,11,9,,54,,,4,12,36,34,8,4th -- 01:06,3rd -- 04:56,15,16,Lakehead,13,19,15,21,,68,2014-15,20141018
http://oua.ca/sports/mbkb/2014-15/boxscores/20141107_mn8y.xml?view=teamstats,9,14,0.316,0.2,6,19,4,20,10,7,Ryerson,35,28,,,0.441,0.226,30,68,14,62,0.84,0.786,21,25,22,28,Laurier,,,0,Laurier,9,15,11,19,,54,,,33,13,53,37,0,,,14,12,Ryerson,19,29,17,22,,87,2014-15,20141107
http://oua.ca/sports/mbkb/2014-15/boxscores/20141105_crqs.xml?view=teamstats,5,4,0.308,0.28,8,26,7,25,9,5,Ryerson,87,54,,,0.439,0.327,29,66,16,49,0.7,0.652,21,30,15,23,Waterloo,,,0,Waterloo,9,13,17,15,,54,,,25,8,46,27,0,,,15,17,Ryerson,20,20,29,18,,87,2014-15,20141105
http://oua.ca/sports/mbkb/2014-15/boxscores/20150117_h6eo.xml?view=teamstats,6,12,0.091,0.286,2,22,6,21,3,10,Waterloo,7,18,0,0,0.29,0.387,18,62,24,62,0.8,0.739,16,20,17,23,Western,2,23,1,Waterloo,11,15,10,18,,54,24,30,21,14,34,45,0,1st -- 09:20,4th -- 08:54,18,15,Western,23,14,21,13,,71,2014-15,20150117
http://oua.ca/sports/mbkb/2014-15/boxscores/20150218_clwv.xml?view=teamstats,3,30,0.276,0.469,8,29,15,32,2,21,Waterloo,14,48,0,0,0.276,0.437,21,76,38,87,0.333,0.538,4,12,14,26,Windsor,2,53,11,Waterloo,22,12,11,9,,54,12,26,0,21,43,75,3,1st -- 09:43,4th -- 01:43,12,5,Windsor,24,33,18,30,,105,2014-15,20150218
http://oua.ca/sports/mbkb/2016-17/boxscores/20170120_f9vl.xml?view=teamstats,8,11,0.429,0.308,9,21,8,26,10,15,Guelph,22,47,,,0.349,0.464,22,63,32,69,0.5,0.667,1,2,18,27,Carleton,1,39,2,Guelph,12,10,12,20,,54,,,9,22,29,50,1,1st -- 06:26,3rd -- 02:12,23,14,Carleton,27,19,27,17,,90,2016-17,20170120
http://oua.ca/sports/mbkb/2016-17/boxscores/20170127_ayx5.xml?view=teamstats,10,2,0.556,0.297,15,27,11,37,25,11,Carleton,47,25,,,0.578,0.286,37,64,16,56,0.882,0.733,15,17,11,15,Windsor,50,5,4,Windsor,16,12,12,14,,54,,,34,10,44,21,1,4th -- 01:20,1st -- 05:52,12,20,Carleton,18,30,31,25,,104,2016-17,20170127
http://oua.ca/sports/mbkb/2016-17/boxscores/20161105_zvzd.xml?view=teamstats,18,11,0.286,0.179,6,21,5,28,9,8,Ryerson,40,19,,,0.444,0.313,32,72,20,64,0.783,0.45,18,23,9,20,Laurier,,,0,Laurier,6,20,6,22,,54,,,29,18,46,33,0,,,17,19,Ryerson,25,26,21,16,,88,2016-17,20161105
http://oua.ca/sports/mbkb/2016-17/boxscores/20170111_jz6r.xml?view=teamstats,7,19,0.13,0.167,3,23,2,12,6,13,Laurier,13,17,0,2,0.282,0.5,20,71,30,60,0.524,0.767,11,21,23,30,McMaster,2,38,3,Laurier,13,8,17,16,,54,8,4,15,16,25,47,5,1st -- 08:37,4th -- 06:37,14,17,McMaster,19,27,21,18,,85,2016-17,20170111
